ExperimentNums : LastGenerationNums : FitnessResults : NumOfDiskettes
1 : 900000 : 0.056206597222222224 : 31
2 : 900000 : 0.06397306397306397 : 31
3 : 900000 : 0.06989247311827956 : 31
4 : 900000 : 0.06553819444444445 : 31
5 : 900000 : 0.052195340501792115 : 31
6 : 900000 : 0.0721326164874552 : 31
7 : 900000 : 0.06081649831649832 : 31
8 : 900000 : 0.07112794612794612 : 31
9 : 900000 : 0.07139756944444445 : 31
10 : 900000 : 0.06180555555555556 : 31
11 : 900000 : 0.07302188552188552 : 31
12 : 900000 : 0.05360243055555555 : 31
13 : 900000 : 0.05625 : 31
14 : 900000 : 0.07096354166666667 : 31
15 : 900000 : 0.0703125 : 31
16 : 900000 : 0.052083333333333336 : 31
17 : 900000 : 0.06532118055555555 : 31
18 : 900000 : 0.0664983164983165 : 31
19 : 900000 : 0.052314814814814814 : 31
20 : 900000 : 0.06082375478927203 : 31
